GO_ID	GO_Label	Evidence_Code	Original_Ref	Action	Rationale	Proposed_Replacement
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	IBA	GO_REF:0000033	ACCEPT	Phylogenetic inference from mammalian Nrf2 orthologs supported by structure	
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IBA	GO_REF:0000033	ACCEPT	Core molecular function well-supported by experimental evidence	
GO:0005634	nucleus	IBA	GO_REF:0000033	ACCEPT	Dynamic stress-responsive nuclear localization	
GO:0006357	regulation of transcription by RNA polymerase II	IBA	GO_REF:0000033	ACCEPT	Master transcriptional regulator function	
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	IEA	GO_REF:0000002	ACCEPT	InterPro domain mapping for NFE2-like domain	
GO:0003677	DNA binding	IEA	GO_REF:0000120	ACCEPT	General but accurate annotation	
GO:0003700	DNA-binding transcription factor activity	IEA	GO_REF:0000002	ACCEPT	Consistent with bZIP domain annotation	
GO:0005634	nucleus	IEA	GO_REF:0000044	ACCEPT	UniProt subcellular location mapping	
GO:0005737	cytoplasm	IEA	GO_REF:0000044	ACCEPT	Basal cytoplasmic localization confirmed	
GO:0005739	mitochondrion	IEA	GO_REF:0000044	ACCEPT	SKN-1A isoform mitochondrial localization	
GO:0006351	DNA-templated transcription	IEA	GO_REF:0000043	ACCEPT	UniProtKB keyword-based annotation	
GO:0006355	regulation of DNA-templated transcription	IEA	GO_REF:0000002	ACCEPT	InterPro domain mapping	
GO:0006357	regulation of transcription by RNA polymerase II	IEA	GO_REF:0000002	ACCEPT	InterPro NFE2-like domain	
GO:0006417	regulation of translation	IEA	GO_REF:0000043	UNDECIDED	Limited direct evidence; may represent indirect effects	
GO:0010468	regulation of gene expression	IEA	GO_REF:0000117	ACCEPT	ARBA machine learning annotation	
GO:0045944	positive regulation of transcription by RNA polymerase II	IMP	PMID:24068940	ACCEPT	Direct experimental evidence	
GO:1990748	cellular detoxification	IMP	PMID:23721876	ACCEPT	Core biological process	
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	IDA	PMID:28600327	ACCEPT	Direct demonstration in oxidative stress	
GO:0005515	protein binding	IPI	PMID:28600327	MODIFY	ELT-3 interaction is specific transcription factor binding	GO:0140297
GO:0005634	nucleus	IDA	PMID:28600327	ACCEPT	Confirms nuclear localization in stress response	
GO:0008340	determination of adult lifespan	IMP	PMID:28600327	ACCEPT	Core longevity function	
GO:0045944	positive regulation of transcription by RNA polymerase II	IMP	PMID:28600327	ACCEPT	Valid experimental evidence	
GO:0005634	nucleus	IDA	PMID:34407394	ACCEPT	Nuclear localization during innate immunity	
GO:0042742	defense response to bacterium	IMP	PMID:34407394	ACCEPT	Core innate immunity function	
GO:0048565	digestive tract development	IMP	PMID:1547503	ACCEPT	Core developmental function	
GO:0048566	embryonic digestive tract development	IMP	PMID:1547503	ACCEPT	Appropriately specific annotation	
GO:0010468	regulation of gene expression	IMP	PMID:26016853	ACCEPT	Regulates innate immunity genes	
GO:0050829	defense response to Gram-negative bacterium	IMP	PMID:26016853	ACCEPT	Specific immunity function	
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	IDA	PMID:24068940	ACCEPT	Direct DNA binding evidence	
GO:0045944	positive regulation of transcription by RNA polymerase II	IMP	PMID:12869585	ACCEPT	Seminal paper on SKN-1 function	
GO:0045944	positive regulation of transcription by RNA polymerase II	IMP	PMID:25688864	ACCEPT	Experimental evidence for transcriptional activation	
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	IDA	PMID:12869585	ACCEPT	Direct evidence for gcs-1 binding	
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	IDA	PMID:24453991	ACCEPT	Binding to nlg-1 regulatory region	
GO:0030544	Hsp70 protein binding	IPI	PMID:24068940	ACCEPT	SKN-1A/C interaction with HSP-4	
GO:0036498	IRE1-mediated unfolded protein response	IEP	PMID:24068940	KEEP_AS_NON_CORE	Integration point; UPR is separate pathway	
GO:0036500	ATF6-mediated unfolded protein response	IDA	PMID:26232625	KEEP_AS_NON_CORE	Integration with proteostasis; not primary driver	
GO:0010628	positive regulation of gene expression	IMP	PMID:23721876	ACCEPT	Activates detoxification gene expression	
GO:1905804	positive regulation of cellular response to manganese ion	IMP	PMID:23721876	KEEP_AS_NON_CORE	Metal-specific detoxification; detoxification is core	
GO:1905804	positive regulation of cellular response to manganese ion	IGI	PMID:23721876	KEEP_AS_NON_CORE	Genetic interaction evidence for manganese response	
GO:1901562	response to paraquat	IGI	PMID:19783783	KEEP_AS_NON_CORE	Paraquat-specific stressor; oxidative stress is core	
GO:0008340	determination of adult lifespan	IGI	PMID:19783783	ACCEPT	Lifespan determination is core function	
GO:0048566	embryonic digestive tract development	IGI	PMID:25819561	ACCEPT	Core developmental function	
GO:0001714	endodermal cell fate specification	IMP	PMID:25819561	ACCEPT	Core developmental function	
GO:0043565	sequence-specific DNA binding	IDA	PMID:9303538	ACCEPT	Crystal structure demonstrates monomeric binding	
GO:0005783	endoplasmic reticulum	IDA	PMID:24068940	ACCEPT	SKN-1A isoform ER-association	
GO:0000303	response to superoxide	IEP	PMID:12869585	ACCEPT	SKN-1 expression induced by oxidative stress	
GO:0000303	response to superoxide	IMP	PMID:12869585	ACCEPT	Functional role in oxidative stress response	
GO:0005634	nucleus	IDA	PMID:12869585	ACCEPT	Stress-induced nuclear translocation	
GO:0006979	response to oxidative stress	IEP	PMID:12869585	ACCEPT	Core biological process; master regulator	
GO:0008340	determination of adult lifespan	IMP	PMID:12869585	ACCEPT	Mutants have shortened lifespan	
GO:0009408	response to heat	IEP	PMID:12869585	KEEP_AS_NON_CORE	One of many stressors; oxidative stress is core	
GO:0005739	mitochondrion	IDA	PMID:23040073	ACCEPT	SKN-1A isoform metabolic function	
GO:0005634	nucleus	IDA	PMID:16166371	ACCEPT	p38 MAPK-dependent nuclear translocation	
GO:0008340	determination of adult lifespan	IMP	PMID:22560223	ACCEPT	TOR pathway-mediated lifespan extension	
GO:1900409	positive regulation of cellular response to oxidative stress	IMP	PMID:22560223	ACCEPT	Core function in stress response	
GO:0048382	mesendoderm development	IMP	PMID:1547503	ACCEPT	Core developmental function	
GO:0001714	endodermal cell fate specification	IGI	PMID:15979606	ACCEPT	Core developmental function	
GO:0008340	determination of adult lifespan	IGI	PMID:20523893	ACCEPT	Genetic evidence for longevity function	
GO:0005515	protein binding	IPI	PMID:19273594	MODIFY	WDR-23 is E3 ligase adaptor; regulation-specific	GO:0031625
GO:0008340	determination of adult lifespan	IMP	PMID:18358814	ACCEPT	Longevity determinant	
GO:0043565	sequence-specific DNA binding	IDA	PMID:9628487	ACCEPT	Crystal structure evidence	
GO:0005634	nucleus	IDA	PMID:8348611	ACCEPT	Original localization evidence	
GO:0001708	cell fate specification	IMP	PMID:8861906	ACCEPT	Core developmental function	
GO:0009880	embryonic pattern specification	IMP	PMID:8861906	ACCEPT	Embryonic patterning function	
GO:0003700	DNA-binding transcription factor activity	NAS	PMID:1547503	ACCEPT	NAS from original discovery paper	
