A0A087WUV0	ZNF892
A0A0U1RQI7	KLF18
A0A1B0GTS1	HSFX4
A0A1B0GWH4	HSFX3
A0A1W2PPF3	DUXB
A0A1W2PPK0	CPHXL2
A0A1W2PPM1	CPHXL
A0A1W2PQ73	ERFL
A0A1W2PQL4	ZNF722
A0A1W2PRP0	FOXL3
A0A2Z4LIS9	FOXO3B
A0A5F9ZHS7	NFILZ
A0AVK6	E2F8
A0PJY2	FEZF1
A1YPR0	ZBTB7C
A2RRD8	ZNF320
A2RU54	HMX2
A6NCS4	NKX2-6
A6NDR6	MEIS3P1
A6NFD8	HELT
A6NFI3	ZNF316
A6NFQ7	DPRX
A6NGD5	ZSCAN5C
A6NHJ4	ZNF860
A6NHT5	HMX3
A6NI15	MSGN1
A6NJ46	NKX6-3
A6NJG6	ARGFX
A6NJL1	ZSCAN5B
A6NJT0	UNCX
A6NK53	ZNF233
A6NK75	ZNF98
A6NKF2	ARID3C
A6NLW8	DUXA
A6NM28	ZFP92
A6NMT0	DBX1
A6NN14	ZNF729
A6NNA5	DRGX
A6NNF4	ZNF726
A6NP11	ZNF716
A8K0S8	MEIS3P2
A8K8V0	ZNF785
A8MT65	ZNF891
A8MTJ6	FOXI3
A8MTQ0	NOTO
A8MTY0	ZNF724
A8MUV8	ZNF727
A8MUZ8	ZNF705G
A8MWA4	ZNF705EP
A8MXY4	ZNF99
A8MYZ6	FOXO6
A8MZ59	LEUTX
A9YTQ3	AHRR
B1APH4	ZNF487
B2RXF5	ZBTB42
B4DU55	ZNF879
B4DX44	ZNF736
B4DXR9	ZNF732
C9JBD0	KRABD1
C9JN71	ZNF878
E7ETH6	ZNF587B
E9PGG2	ANHX
O00110	OVOL3
O00287	RFXAP
O00321	ETV2
O00327	BMAL1
O00358	FOXE1
O00409	FOXN3
O00470	MEIS1
O00482	NR5A2
O00570	SOX1
O00634	NTN3
O00712	NFIB
O00716	E2F3
O14503	BHLHE40
O14529	CUX2
O14593	RFXANK
O14627	CDX4
O14628	ZNF195
O14753	OVOL1
O14770	MEIS2
O14771	ZNF213
O14813	PHOX2A
O14867	BACH1
O14896	IRF6
O14901	KLF11
O14948	TFEC
O14978	ZNF263
O15014	ZNF609
O15015	ZNF646
O15060	ZBTB39
O15062	ZBTB5
O15090	ZNF536
O15119	TBX3
O15156	ZBTB7B
O15162	PLSCR1
O15173	PGRMC2
O15178	TBXT
O15198	SMAD9
O15209	ZBTB22
O15226	NKRF
O15266	SHOX
O15350	TP73
O15353	FOXN1
O15370	SOX12
O15391	YY2
O15409	FOXP2
O15499	GSC2
O15516	CLOCK
O15522	NKX2-8
O15525	MAFG
O15535	ZSCAN9
O43167	ZBTB24
O43186	CRX
O43248	HOXC11
O43296	ZNF264
O43298	ZBTB43
O43309	ZSCAN12
O43313	ATMIN
O43316	PAX4
O43361	ZNF749
O43364	HOXA2
O43365	HOXA3
O43435	TBX1
O43474	KLF4
O43524	FOXO3
O43623	SNAI2
O43638	FOXS1
O43680	TCF21
O43711	TLX3
O43763	TLX2
O43812	DUX1
O43829	ZBTB14
O43889	CREB3
O60248	SOX15
O60281	ZNF292
O60284	ST18
O60304	ZNF500
O60315	ZEB2
O60381	HBP1
O60384	ZNF861P
O60393	NOBOX
O60422	ONECUT3
O60479	DLX3
O60481	ZIC3
O60519	CREBL2
O60548	FOXD2
O60663	LMX1B
O60675	MAFK
O60682	MSC
O60765	ZNF354A
O60806	TBX19
O60902	SHOX2
O75030	MITF
O75123	ZNF623
O75132	ZBED4
O75290	ZNF780A
O75333	TBX10
O75346	ZNF253
O75360	PROP1
O75362	ZNF217
O75364	PITX3
O75373	ZNF737
O75398	DEAF1
O75437	ZNF254
O75444	MAF
O75461	E2F6
O75467	ZNF324
O75469	NR1I2
O75541	ZNF821
O75593	FOXH1
O75603	GCM2
O75626	PRDM1
O75820	ZNF189
O75840	KLF7
O94842	TOX4
O94850	DDN
O94916	NFAT5
O94993	SOX30
O95076	ALX3
O95096	NKX2-2
O95125	ZNF202
O95201	ZNF205
O95231	VENTX
O95238	SPDEF
O95343	SIX3
O95365	ZBTB7A
O95409	ZIC2
O95416	SOX14
O95475	SIX6
O95600	KLF8
O95625	ZBTB11
O95631	NTN1
O95644	NFATC1
O95718	ESRRB
O95780	ZNF682
O95785	WIZ
O95863	SNAI1
O95935	TBX18
O95936	EOMES
O95947	TBX6
O95948	ONECUT2
O96004	HAND1
O96006	ZBED1
P01100	FOS
P01106	MYC
P03372	ESR1
P04150	NR3C1
P04198	MYCN
P04637	TP53
P05412	JUN
P05549	TFAP2A
P06401	PGR
P06733	ENO1
P08047	SP1
P08048	ZFY
P08151	GLI1
P08235	NR3C2
P08651	NFIC
P08910	ABHD2
P09016	HOXD4
P09017	HOXC4
P09067	HOXB5
P09086	POU2F2
P09629	HOXB7
P09630	HOXC6
P0C6A0	ZGLP1
P0C7M4	RHOXF2B
P0C7X2	ZNF688
P0CB33	ZNF735
P0CG00	ZSCAN5DP
P0CG23	ZNF853
P0CG24	ZNF883
P0CG31	ZNF286B
P0CG40	SP9
P0CH99	ZNF705D
P0CI00	ZNF705B
P0CJ78	ZNF865
P0CJ79	ZNF888
P0CJ85	DUX4L2
P0CJ86	DUX4L3
P0CJ87	DUX4L4
P0CJ88	DUX4L5
P0CJ89	DUX4L6
P0CJ90	DUX4L7
P0DKX0	ZNF728
P0DPD5	ZNF723
P0DV77	TPRX2
P10070	GLI2
P10071	GLI3
P10072	ZNF875
P10073	ZSCAN22
P10074	ZBTB48
P10075	GLI4
P10242	MYB
P10243	MYBL1
P10244	MYBL2
P10275	AR
P10276	RARA
P10588	NR2F6
P10589	NR2F1
P10826	RARB
P10827	THRA
P10828	THRB
P10914	IRF1
P11161	EGR2
P11308	ERG
P11473	VDR
P11474	ESRRA
P11831	SRF
P12524	MYCL
P12525	MYCLP1
P12755	SKI
P12757	SKIL
P12980	LYL1
P13056	NR2C1
P13349	MYF5
P13378	HOXD8
P13631	RARG
P13682	ZNF35
P14316	IRF2
P14651	HOXB3
P14652	HOXB2
P14653	HOXB1
P14859	POU2F1
P14921	ETS1
P15036	ETS2
P15172	MYOD1
P15173	MYOG
P15336	ATF2
P15407	FOSL1
P15408	FOSL2
P15621	ZNF44
P15622	ZNF250
P15822	HIVEP1
P15863	PAX1
P15884	TCF4
P15923	TCF3
P15976	GATA1
P16220	CREB1
P16415	ZNF823
P17010	ZFX
P17014	ZNF12
P17017	ZNF14
P17019	ZNF708
P17020	ZNF16
P17021	ZNF17
P17022	ZNF18
P17023	ZNF19
P17024	ZNF20
P17025	ZNF182
P17026	ZNF22
P17027	ZNF23
P17028	ZNF24
P17029	ZKSCAN1
P17030	ZNF25
P17032	ZNF37A
P17035	ZNF28
P17036	ZNF3
P17039	ZNF30
P17040	ZSCAN20
P17041	ZNF32
P17097	ZNF7
P17098	ZNF8
P17275	JUNB
P17481	HOXB8
P17482	HOXB9
P17483	HOXB4
P17509	HOXB6
P17535	JUND
P17542	TAL1
P17544	ATF7
P17676	CEBPB
P17861	XBP1
P17947	SPI1
P18146	EGR1
P18846	ATF1
P18847	ATF3
P18848	ATF4
P18850	ATF6
P19419	ELK1
P19484	TFEB
P19532	TFE3
P19544	WT1
P19622	EN2
P19793	RXRA
P19838	NFKB1
P20264	POU3F3
P20265	POU3F2
P20393	NR1D1
P20719	HOXA5
P20823	HNF1A
P21506	ZNF10
P22392	NME2
P22415	USF1
P22670	RFX1
P22736	NR4A1
P23396	RPS3
P23409	MYF6
P23497	SP100
P23511	NFYA
P23759	PAX7
P23760	PAX3
P23769	GATA2
P23771	GATA3
P24278	ZBTB25
P24468	NR2F2
P25208	NFYB
P25490	YY1
P26367	PAX6
P27540	ARNT
P28069	POU1F1
P28324	ELK4
P28347	TEAD1
P28356	HOXD9
P28358	HOXD10
P28360	MSX1
P28698	MZF1
P28702	RXRB
P31249	HOXD3
P31260	HOXA10
P31267	HOXA6
P31268	HOXA7
P31269	HOXA9
P31270	HOXA11
P31271	HOXA13
P31273	HOXC8
P31274	HOXC9
P31275	HOXC12
P31276	HOXC13
P31277	HOXD11
P31314	TLX1
P31629	HIVEP2
P32242	OTX1
P32243	OTX2
P32314	FOXN2
P32519	ELF1
P35398	RORA
P35452	HOXD12
P35453	HOXD13
P35548	MSX2
P35638	DDIT3
P35680	HNF1B
P35711	SOX5
P35712	SOX6
P35713	SOX18
P35716	SOX11
P35789	ZNF93
P35869	AHR
P36402	TCF7
P36508	ZNF76
P36956	SREBF1
P37231	PPARG
P37275	ZEB1
P39880	CUX1
P40424	PBX1
P40425	PBX2
P40426	PBX3
P40763	STAT3
P41161	ETV5
P41162	ETV3
P41182	BCL6
P41212	ETV6
P41225	SOX3
P41235	HNF4A
P41970	ELK3
P42224	STAT1
P42226	STAT6
P42229	STAT5A
P43268	ETV4
P43354	NR4A2
P43694	GATA4
P43699	NKX2-1
P47902	CDX1
P48378	RFX2
P48380	RFX3
P48382	RFX5
P48431	SOX2
P48436	SOX9
P48443	RXRG
P48742	LHX1
P49116	NR2C2
P49335	POU3F4
P49639	HOXA1
P49640	EVX1
P49711	CTCF
P49715	CEBPA
P49716	CEBPD
P49910	ZNF165
P50219	MNX1
P50221	MEOX1
P50222	MEOX2
P50458	LHX2
P50539	MXI1
P50548	ERF
P50549	ETV1
P50553	ASCL1
P51449	RORC
P51504	ZNF80
P51508	ZNF81
P51522	ZNF83
P51692	STAT5B
P51815	ZNF75D
P51826	AFF3
P51858	HDGF
P52630	STAT2
P52736	ZNF133
P52737	ZNF136
P52738	ZNF140
P52739	ZNF131
P52740	ZNF132
P52741	ZNF134
P52742	ZNF135
P52743	ZNF137P
P52744	ZNF138
P52746	ZNF142
P52747	ZNF143
P52945	PDX1
P52951	GBX2
P52952	NKX2-5
P52954	LBX1
P53539	FOSB
P53567	CEBPG
P54821	PRRX1
P54845	NRL
P55055	NR1H2
P55316	FOXG1
P55317	FOXA1
P55318	FOXA3
P55347	PKNOX1
P55771	PAX9
P56177	DLX1
P56178	DLX5
P56179	DLX6
P56270	MAZ
P56524	HDAC4
P56693	SOX10
P56915	GSC
P57071	PRDM15
P57073	SOX8
P57082	TBX4
P57682	KLF3
P58012	FOXL2
P58304	VSX2
P58317	ZNF121
P59817	ZNF280A
P61129	ZC3H6
P61244	MAX
P61296	HAND2
P61371	ISL1
P62508	ESRRG
P78337	PITX1
P78347	GTF2I
P78367	NKX3-2
P78411	IRX5
P78412	IRX6
P78413	IRX4
P78414	IRX1
P78415	IRX3
P78424	POU6F2
P78426	NKX6-1
P78545	ELF3
P81133	SIM1
P84022	SMAD3
P84550	SKOR1
P85037	FOXK1
P86452	ZBED6
P98177	FOXO4
Q00056	HOXA4
Q00444	HOXC5
Q00577	PURA
Q00613	HSF1
Q00653	NFKB2
Q00978	IRF9
Q01094	E2F1
Q01101	INSM1
Q01167	FOXK2
Q01196	RUNX1
Q01201	RELB
Q01538	MYT1
Q01543	FLI1
Q01664	TFAP4
Q01826	SATB1
Q01851	POU4F1
Q01860	POU5F1
Q01892	SPIB
Q01954	BNC1
Q02078	MEF2A
Q02080	MEF2B
Q02086	SP2
Q02386	ZNF45
Q02446	SP4
Q02447	SP3
Q02548	PAX5
Q02556	IRF8
Q02575	NHLH1
Q02577	NHLH2
Q02930	CREB5
Q02962	PAX2
Q03014	HHEX
Q03052	POU3F1
Q03060	CREM
Q03112	MECOM
Q03181	PPARD
Q03828	EVX2
Q03923	ZNF85
Q03924	ZNF117
Q03933	HSF2
Q03936	ZNF92
Q03938	ZNF90
Q04206	RELA
Q04741	EMX1
Q04743	EMX2
Q04864	REL
Q05066	SRY
Q05195	MXD1
Q05215	EGR4
Q05481	ZNF91
Q05516	ZBTB16
Q05925	EN1
Q06330	RBPJ
Q06413	MEF2C
Q06416	POU5F1B
Q06546	GABPA
Q06710	PAX8
Q06730	ZNF33A
Q06889	EGR3
Q06945	SOX4
Q07687	DLX2
Q07869	PPARA
Q08050	FOXM1
Q08AG5	ZNF844
Q08AN1	ZNF616
Q08ER8	ZNF543
Q09FC8	ZNF415
Q0D2J5	ZNF763
Q0VG99	MESP2
Q0VGE8	ZNF816
Q10586	DBP
Q10587	TEF
Q12772	SREBF2
Q12778	FOXO1
Q12800	TFCP2
Q12837	POU4F2
Q12857	NFIA
Q12870	TCF15
Q12901	ZNF155
Q12946	FOXF1
Q12947	FOXF2
Q12948	FOXC1
Q12950	FOXD4
Q12951	FOXI1
Q12952	FOXL1
Q12968	NFATC3
Q12986	NFX1
Q13029	PRDM2
Q13105	ZBTB17
Q13106	ZNF154
Q13118	KLF10
Q13127	REST
Q13129	RLF
Q13133	NR1H3
Q13207	TBX2
Q13285	NR5A1
Q13342	SP140
Q13351	KLF1
Q13360	ZNF177
Q13398	ZNF211
Q13422	IKZF1
Q13461	FOXE3
Q13469	NFATC2
Q13485	SMAD4
Q13516	OLIG2
Q13562	NEUROD1
Q13568	IRF5
Q13761	RUNX3
Q13886	KLF9
Q13887	KLF5
Q13950	RUNX2
Q13952	NFYC
Q14119	VEZF1
Q14186	TFDP1
Q14188	TFDP2
Q14190	SIM2
Q14209	E2F2
Q14432	PDE3A
Q14469	HES1
Q14494	NFE2L1
Q14526	HIC1
Q14541	HNF4G
Q14549	GBX1
Q14582	MXD4
Q14584	ZNF266
Q14585	ZNF345
Q14587	ZNF268
Q14588	ZNF234
Q14590	ZNF235
Q14592	ZNF460
Q14593	ZNF273
Q14653	IRF3
Q14765	STAT4
Q14774	HLX
Q147U1	ZNF846
Q14814	MEF2D
Q14863	POU6F1
Q14872	MTF1
Q14929	ZNF169
Q14934	NFATC4
Q14938	NFIX
Q14994	NR1I3
Q14995	NR1D2
Q15072	ZNF146
Q15270	NKX1-1
Q15306	IRF4
Q15319	POU4F3
Q15329	E2F5
Q15365	PCBP1
Q15406	NR6A1
Q15475	SIX1
Q15561	TEAD4
Q15562	TEAD2
Q15583	TGIF1
Q15672	TWIST1
Q15697	ZNF174
Q15699	ALX1
Q15723	ELF2
Q15744	CEBPE
Q15776	ZKSCAN8
Q15784	NEUROD2
Q15796	SMAD2
Q15797	SMAD1
Q15853	USF2
Q15911	ZFHX3
Q15915	ZIC1
Q15916	ZBTB6
Q15928	ZNF141
Q15935	ZNF77
Q15937	ZNF79
Q15940	ZNF726P1
Q15973	ZNF124
Q16236	NFE2L2
Q16254	E2F4
Q16520	BATF
Q16534	HLF
Q16559	TAL2
Q16587	ZNF74
Q16600	ZNF239
Q16621	NFE2
Q16649	NFIL3
Q16650	TBR1
Q16656	NRF1
Q16665	HIF1A
Q16670	ZSCAN26
Q16676	FOXD1
Q17R98	ZNF827
Q17RH7	TPRXL
Q1XH10	SKIDA1
Q2KHR2	RFX7
Q2M1K9	ZNF423
Q2M1V0	ISX
Q2M218	ZNF630
Q2M3W8	ZNF181
Q2M3X9	ZNF674
Q2TB10	ZNF800
Q2VWA4	SKOR2
Q2VY69	ZNF284
Q32M78	ZNF699
Q32MQ0	ZNF750
Q32MZ4	LRRFIP1
Q33E94	RFX4
Q3B8N5	PROX2
Q3C1V8	BSX
Q3KNS6	ZNF829
Q3KNW1	SNAI3
Q3KP31	ZNF791
Q3KQV3	ZNF792
Q3MIS6	ZNF528
Q3MJ62	ZSCAN23
